REG;                             ®               
Mscr;                            ℳ               
Lstrok;                          Ł               
star;                            ☆               
prec;                            ≺               
rbbrk;                           ❳               
glE;                             ⪒               
rightrightarrows;                ⇉               
ycy;                             ы               
gap;                             ⪆               
ultri;                           ◸               
angmsdab;                        ⦩               
GT                               >               
gtrarr;                          ⥸               
NotSubsetEqual;                  ⊈               
nwarhk;                          ⤣               
Aring                            Å               
nrArr;                           ⇏               
swarrow;                         ↙               
Tab;                             	               
Product;                         ∏               
zwnj;                            ‌               
softcy;                          ь               
Ucirc                            Û               
rscr;                            𝓇               
ltcir;                           ⩹               
gescc;                           ⪩               
smashp;                          ⨳               
boxUr;                           ╙               
zdot;                            ż               
ocirc                            ô               
gnE;                             ≩               
minusb;                          ⊟               
mcy;                             м               
nsmid;                           ∤               
parsl;                           ⫽               
sup;                             ⊃               
asymp;                           ≈               
Sc;                              ⪼               
npolint;                         ⨔               
dfisht;                          ⥿               
pscr;                            𝓅               
rArr;                            ⇒               
erDot;                           ≓               
RuleDelayed;                     ⧴               
andd;                            ⩜               
supmult;                         ⫂               
nges;                            ⩾̸              
ngE;                             ≧̸              
dotsquare;                       ⊡               
SHcy;                            Ш               
caron;                           ˇ               
TildeFullEqual;                  ≅               
emacr;                           ē               
ycirc;                           ŷ               
ffilig;                          ﬃ               
uhblk;                           ▀               
sup1;                            ¹               
UpArrowDownArrow;                ⇅               
el;                              ⪙               
imagline;                        ℐ               
nvDash;                          ⊭               
Sopf;                            𝕊               
Imacr;                           Ī               
lesssim;                         ≲               
Cross;                           ⨯               
nrtrie;                          ⋭               
NotTildeTilde;                   ≉               
Tscr;                            𝒯               
DownLeftVectorBar;               ⥖               
succeq;                          ⪰               
DoubleDot;                       ¨               
Ncedil;                          Ņ               
Gdot;                            Ġ               
ncup;                            ⩂               
elinters;                        ⏧               
diamond;                         ⋄               
Omega;                           Ω               
ic;                              ⁣               
FilledVerySmallSquare;           ▪               
spadesuit;                       ♠               
nleftarrow;                      ↚               
YAcy;                            Я               
aleph;                           ℵ               
zwj;                             ‍               
veebar;                          ⊻               
rfisht;                          ⥽               
xvee;                            ⋁               
blacksquare;                     ▪               
utilde;                          ũ               
parsim;                          ⫳               
jukcy;                           є               
Supset;                          ⋑               
Rrightarrow;                     ⇛               
ccedil;                          ç               
mapstodown;                      ↧               
gt;                              >               
boxVr;                           ╟               
lozf;                            ⧫               
prnsim;                          ⋨               
searrow;                         ↘               
euro;                            €               
DScy;                            Ѕ               
dlcrop;                          ⌍               
Yscr;                            𝒴               
midast;                          *               
andslope;                        ⩘               
Vopf;                            𝕍               
rharul;                          ⥬               
eqcolon;                         ≕               
wedgeq;                          ≙               
fork;                            ⋔               
curlyeqprec;                     ⋞               
uparrow;                         ↑               
ncedil;                          ņ               
harrw;                           ↭               
lrhard;                          ⥭               
Cdot;                            Ċ               
ell;                             ℓ               
times                            ×               
upharpoonright;                  ↾               
hscr;                            𝒽               
slarr;                           ←               
lbrkslu;                         ⦍               
hoarr;                           ⇿               
boxdr;                           ┌               
cup;                             ∪               
forkv;                           ⫙               
nhpar;                           ⫲               
Rang;                            ⟫               
UpArrow;                         ↑               
eplus;                           ⩱               
simne;                           ≆               
pound;                           £               
llarr;                           ⇇               
thkap;                           ≈               
Jcy;                             Й               
Equilibrium;                     ⇌               
Cconint;                         ∰               
Wfr;                             𝔚               
brvbar;                          ¦               
gcirc;                           ĝ               
vartriangleright;                ⊳               
gne;                             ⪈               
Kappa;                           Κ               
psi;                             ψ               
vartriangleleft;                 ⊲               
RightTeeArrow;                   ↦               
atilde;                          ã               
smtes;                           ⪬︀              
rightleftarrows;                 ⇄               
dharl;                           ⇃               
rarrtl;                          ↣               
NotSuperset;                     ⊃⃒              
Vee;                             ⋁               
Idot;                            İ               
gE;                              ≧               
acy;                             а               
wfr;                             𝔴               
Scirc;                           Ŝ               
PrecedesSlantEqual;              ≼               
SubsetEqual;                     ⊆               
supplus;                         ⫀               
varsupsetneqq;                   ⫌︀              
varepsilon;                      ϵ               
angmsdac;                        ⦪               
Longleftrightarrow;              ⟺               
Vdashl;                          ⫦               
aring;                           å               
backsimeq;                       ⋍               
cupcup;                          ⩊               
vBar;                            ⫨               
Backslash;                       ∖               
Uarrocir;                        ⥉               
nexists;                         ∄               
incare;                          ℅               
vltri;                           ⊲               
notnivc;                         ⋽               
supdsub;                         ⫘               
cirmid;                          ⫯               
apE;                             ⩰               
alpha;                           α               
blk14;                           ░               
wopf;                            𝕨               
zcaron;                          ž               
sstarf;                          ⋆               
frac34                           ¾               
yfr;                             𝔶               
xodot;                           ⨀               
rthree;                          ⋌               
Ecirc;                           Ê               
UnderParenthesis;                ⏝               
Xscr;                            𝒳               
rarrhk;                          ↪               
Sqrt;                            √               
LeftArrowRightArrow;             ⇆               
leqslant;                        ⩽               
ZHcy;                            Ж               
SupersetEqual;                   ⊇               
yucy;                            ю               
sup2                             ²               
Zfr;                             ℨ               
bigcirc;                         ◯               
boxDR;                           ╔               
varrho;                          ϱ               
sube;                            ⊆               
eta;                             η               
Uparrow;                         ⇑               
subnE;                           ⫋               
cuepr;                           ⋞               
raquo                            »               
yacy;                            я               
notinvc;                         ⋶               
rfr;                             𝔯               
icirc                            î               
NoBreak;                         ⁠               
Ograve                           Ò               
ijlig;                           ĳ               
kcedil;                          ķ               
Ufr;                             𝔘               
nvge;                            ≥⃒              
Succeeds;                        ≻               
LessTilde;                       ≲               
leq;                             ≤               
sc;                              ≻               
sim;                             ∼               
ENG;                             Ŋ               
HumpEqual;                       ≏               
SquareUnion;                     ⊔               
glj;                             ⪤               
Union;                           ⋃               
DoubleRightArrow;                ⇒               
par;                             ∥               
xuplus;                          ⨄               
Oacute                           Ó               
Lcaron;                          Ľ               
lesseqqgtr;                      ⪋               
NotSquareSubset;                 ⊏̸              
smt;                             ⪪               
Tcy;                             Т               
NotTilde;                        ≁               
wcirc;                           ŵ               
sce;                             ⪰               
Uuml                             Ü               
Lmidot;                          Ŀ               
nwnear;                          ⤧               
triangleleft;                    ◃               
precnapprox;                     ⪹               
ange;                            ⦤               
yacute;                          ý               
zeta;                            ζ               
simeq;                           ≃               
homtht;                          ∻               
sdot;                            ⋅               
uuarr;                           ⇈               
ntilde                           ñ               
dash;                            ‐               
elsdot;                          ⪗               
boxvl;                           ┤               
lbrksld;                         ⦏               
supe;                            ⊇               
LeftArrowBar;                    ⇤               
awint;                           ⨑               
Ntilde                           Ñ               
cuesc;                           ⋟               
Zopf;                            ℤ               
odot;                            ⊙               
KHcy;                            Х               
sqsub;                           ⊏               
late;                            ⪭               
pcy;                             п               
bsol;                            \               
larrlp;                          ↫               
nsubE;                           ⫅̸              
ord;                             ⩝               
efr;                             𝔢               
lbarr;                           ⤌               
vArr;                            ⇕               
Assign;                          ≔               
nVDash;                          ⊯               
blank;                           ␣               
cent                             ¢               
GreaterGreater;                  ⪢               
Ropf;                            ℝ               
larr;                            ←               
in;                              ∈               
EmptyVerySmallSquare;            ▫               
bne;                             =⃥              
integers;                        ℤ               
NotGreaterGreater;               ≫̸              
eqslantgtr;                      ⪖               
equivDD;                         ⩸               
Uacute                           Ú               
otimesas;                        ⨶               
LowerLeftArrow;                  ↙               
qopf;                            𝕢               
scirc;                           ŝ               
boxUl;                           ╜               
seArr;                           ⇘               
lsimg;                           ⪏               
bigvee;                          ⋁               
ulcorner;                        ⌜               
lsaquo;                          ‹               
ngeqslant;                       ⩾̸              
rx;                              ℞               
VerticalSeparator;               ❘               
boxur;                           └               
els;                             ⪕               
NotSubset;                       ⊂⃒              
pitchfork;                       ⋔               
Mcy;                             М               
nedot;                           ≐̸              
bdquo;                           „               
disin;                           ⋲               
lfisht;                          ⥼               
downdownarrows;                  ⇊               
divonx;                          ⋇               
bump;                            ≎               
upsih;                           ϒ               
gtcir;                           ⩺               
rarrlp;                          ↬               
jcirc;                           ĵ               
preccurlyeq;                     ≼               
pr;                              ≺               
rdsh;                            ↳               
boxvR;                           ╞               
csub;                            ⫏               
hslash;                          ℏ               
egrave;                          è               
afr;                             𝔞               
scaron;                          š               
vzigzag;                         ⦚               
ltquest;                         ⩻               
Rarrtl;                          ⤖               
Icirc;                           Î               
Kscr;                            𝒦               
nang;                            ∠⃒              
sfr;                             𝔰               
iprod;                           ⨼               
osol;                            ⊘               
gammad;                          ϝ               
Rcy;                             Р               
precneqq;                        ⪵               
nearrow;                         ↗               
acd;                             ∿               
shortparallel;                   ∥               
gtrdot;                          ⋗               
nsup;                            ⊅               
imof;                            ⊷               
vsubnE;                          ⫋︀              
lrarr;                           ⇆               
bopf;                            𝕓               
Not;                             ⫬               
smile;                           ⌣               
ddagger;                         ‡               
ETH;                             Ð               
race;                            ∽̱              
oscr;                            ℴ               
egsdot;                          ⪘               
Utilde;                          Ũ               
hkswarow;                        ⤦               
VeryThinSpace;                                   
SucceedsSlantEqual;              ≽               
varsupsetneq;                    ⊋︀              
quaternions;                     ℍ               
alefsym;                         ℵ               
hamilt;                          ℋ               
